Name,Lon,Lat,Team,Date & Time,Hgt,Corrected,Flown
KING_0009,-156.6927655,58.6865885,Kovach_2022,"Jul 20, 2022 at 2:52:58 PM",,,NewFlown
KING_0010,-156.8328738,58.718448,Kovach_2022,"Jul 20, 2022 at 3:59:38 PM",,,NewFlown
KING_0011,-156.8161989,58.721208,Kovach_2022,"Jul 20, 2022 at 4:24:23 PM",,,NewFlown
KING_0012,-156.8639814,58.7239942,Kovach_2022,"Jul 20, 2022 at 5:07:19 PM",,,NewFlown
KING_0013,-156.8637757,58.7240084,Kovach_2022,"Jul 20, 2022 at 5:07:41 PM",,,NewFlown
KING_0014,-157.0349209,58.7366179,Kovach_2022,"Jul 20, 2022 at 11:46:52 PM",,,NewFlown
KING_0015,-156.8579842,58.7341088,Kovach_2022,"Jul 21, 2022 at 2:39:26 PM",,,NewFlown
KING_0016,-156.8580157,58.7339012,Kovach_2022,"Jul 21, 2022 at 2:39:52 PM",,,NewFlown
KING_0017,-156.6415599,58.6841627,Kovach_2022,"Jul 21, 2022 at 6:50:53 PM",,,NewFlown
SCOT_001,-121.2995757,61.2988559,OtherTeams_2019,,284.872,Yes,Old
SCOT_002,-121.2997288,61.29963634,OtherTeams_2019,,284.043,Yes,Old
SCOT_003,-121.2984493,61.29998043,OtherTeams_2019,,284.102,Yes,Old
SCOT_004,-121.2977774,61.29962385,OtherTeams_2019,,284.834,Yes,Old
SCOT_005,-121.3005021,61.29847404,OtherTeams_2019,,285.464,Yes,Old
SCOT_006,-121.3017521,61.29890285,OtherTeams_2019,,285.809,Yes,Old
SCOT_007,-121.298395,61.30235299,OtherTeams_2019,,278.91806,No,Old
SCOT_008,-121.2978666,61.30268155,OtherTeams_2019,,283.737,Yes,Old
SCOT_009,-121.2989761,61.30299283,OtherTeams_2019,,283.749,Yes,Old
SCOT_010,-121.30207,61.30703836,OtherTeams_2019,,284.731,Yes,Old
SCOT_011,-121.3021975,61.30766698,OtherTeams_2019,,284.219,Yes,Old
