Sample,t_mean_Carbon,t_mean_d15N,t_mean_Nitrogen,t_mean_Phosphorus,t_std_d15N,t_std_Nitrogen,,,,,,,,,,,,,,,,
ABV_DEAD_0009_GR1,54.84981151,-1.776943037,2.919936876,0.163684225,0.25268183,0.046174601,,,,,,,,,,,,,,,,
ABV_DEAD_0010_GR1,49.8663709,-2.369465303,3.127004035,0.207914786,0.369302997,0.049568331,,,,,,,,,,,,,,,,
ABV_DEAD_0011_CA1_NESAMPLE,53.62234431,-2.589398013,2.714318129,0.173641686,0.469713791,0.067315727,,,,,,,,,,,,,,,,
ABV_DEAD_0011_GR1,50.81909312,-1.786845944,2.772465254,0.173018393,0.280601373,0.051292095,,,,,,,,,,,,,,,,
ABV_DEAD_0012_CA1,51.76130335,-2.980726752,2.456620297,0.17522465,0.431239568,0.060567458,,,,,,,,,,,,,,,,
ABV_DEAD_0012_GR1,50.71638216,-3.33193747,2.480450372,0.143037652,0.287641386,0.051450369,,,,,,,,,,,,,,,,
ABV_FAIR_0000_C1,53.33788257,-3.498287718,1.186395949,0.065973036,0.412780234,0.062700629,,,,,,,,,,,,,,,,
ABV_FAIR_0000_C2,50.63255336,-4.754918597,0.986370638,0.061408513,0.272528969,0.03969856,,,,,,,,,,,,,,,,
ABV_FAIR_0000_GR,47.09134676,-3.536176354,2.185089519,0.212436345,0.461525273,0.056172501,,,,,,,,,,,,,,,,
ABV_FAIR_0001_GR,50.89548731,-4.979741137,1.266436841,0.06189008,0.353276793,0.049980952,,,,,,,,,,,,,,,,
ABV_FAIR_0001_P1,50.67073482,-4.178884478,2.156761082,0.086676306,0.367789206,0.051409265,,,,,,,,,,,,,,,,
ABV_FAIR_0002,50.43240362,-4.176659659,2.073967375,0.112365303,0.232532904,0.040812501,,,,,,,,,,,,,,,,
ABV_FAIR_0003,50.25979565,-3.565454539,2.677789063,0.153733262,0.236692372,0.039021434,,,,,,,,,,,,,,,,
ABV_FAIR_0004_CA1,49.20178818,-3.014532663,2.456248043,0.237357379,0.385673298,0.045980441,,,,,,,,,,,,,,,,
ABV_FAIR_0004_CA2,49.41209467,-2.565805319,3.11538031,0.170913038,0.298309988,0.050262806,,,,,,,,,,,,,,,,
ABV_FAIR_0004_CA3,50.64865315,-2.893840514,2.801982909,0.162656949,0.284186875,0.048200909,,,,,,,,,,,,,,,,
ABV_FAIR_0004_CA4,50.22903708,-2.485599361,3.382990024,0.196108078,0.329292468,0.053958069,,,,,,,,,,,,,,,,
